entity_id,entity_name,fiscal_year_end,reporting_currency,fx_rate_to_zar,fx_rate_note,total_revenue,cogs,inventory,total_borrowings,interest_expense,ebitda,total_assets,equity,payables,receivables,total_revenue_zar,cogs_zar,inventory_zar,total_borrowings_zar,interest_expense_zar,ebitda_zar,total_assets_zar,equity_zar,payables_zar,receivables_zar,foreign_revenue_pct,data_source,data_quality
E01,BHP Group,2022-06-30,USD,16.26,USD/ZAR period-end,65098000000.0,,6250000000.0,16428000000.0,1050000000.0,,95166000000.0,48766000000.0,6687000000.0,5579000000.0,1058493480000.0001,,101625000000.00002,267119280000.00003,17073000000.000002,,1547399160000.0002,792935160000.0001,108730620000.00002,90714540000.00002,100.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E01,BHP Group,2023-06-30,USD,18.85,USD/ZAR period-end,53817000000.0,,6623000000.0,22345000000.0,2060000000.0,,101296000000.0,48530000000.0,6300000000.0,4742000000.0,1014450450000.0001,,124843550000.00002,421203250000.00006,38831000000.0,,1909429600000.0002,914790500000.0001,118755000000.00002,89386700000.0,100.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E01,BHP Group,2024-06-30,USD,18.2,USD/ZAR period-end,55658000000.0,,7039000000.0,20718000000.0,2198000000.0,,102362000000.0,49120000000.0,6764000000.0,5339000000.0,1012975600000.0,,128109800000.0,377067600000.0,40003600000.0,,1862988400000.0,893984000000.0,123104800000.0,97169800000.0,100.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E01,BHP Group,2025-06-30,USD,17.75,USD/ZAR period-end,51262000000.0,,6978000000.0,24496000000.0,1771000000.0,,108790000000.0,52218000000.0,6670000000.0,4253000000.0,909900500000.0,,123859500000.0,434804000000.0,31435250000.0,,1931022500000.0,926869500000.0,118392500000.0,75490750000.0,100.0,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E02,Glencore plc,2022-12-31,USD,17.02,USD/ZAR period-end,255984000000.0,228723000000.0,33460000000.0,28777000000.0,1771000000.0,34060000000.0,132583000000.0,45219000000.0,29726000000.0,24565000000.0,4356847680000.0,3892865460000.0,569489200000.0,489784540000.0,30142420000.0,579701200000.0,2256562660000.0,769627380000.0,505936520000.0,418096300000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E02,Glencore plc,2023-12-31,USD,18.29,USD/ZAR period-end,217829000000.0,207046000000.0,31569000000.0,32241000000.0,2515000000.0,17102000000.0,123869000000.0,38237000000.0,29289000000.0,18385000000.0,3984092410000.0,3786871340000.0,577397010000.0,589687890000.0,45999350000.0,312795580000.0,2265564010000.0,699354730000.0,535695810000.0,336261650000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E02,Glencore plc,2024-12-31,USD,18.87,USD/ZAR period-end,230944000000.0,224294000000.0,29580000000.0,38107000000.0,2921000000.0,14358000000.0,130460000000.0,35660000000.0,28968000000.0,17781000000.0,4357913280000.0,4232427780000.0,558174600000.0,719079090000.0,55119270000.0,270935460000.0,2461780200000.0,672904200000.0,546626160000.0,335527470000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E02,Glencore plc,2025-12-31,USD,16.57,USD/ZAR period-end,247535000000.0,241672000000.0,32882000000.0,41486000000.0,3246000000.0,13511000000.0,142199000000.0,33606000000.0,35614000000.0,23826000000.0,4101654950000.0,4004505040000.0,544854740000.0,687423020000.0,53786220000.0,223877270000.0,2356237430000.0,556851420000.0,590123980000.0,394796820000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E03,Anglo American,2022-12-31,USD,17.02,USD/ZAR period-end,35118000000.0,25875000000.0,7407000000.0,14365000000.0,515000000.0,,67407000000.0,34024000000.0,7629000000.0,4923000000.0,597708360000.0,440392500000.0,126067140000.0,244492300000.0,8765300000.0,,1147267140000.0,579088480000.0,129845580000.0,83789460000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
E03,Anglo American,2023-12-31,USD,18.29,USD/ZAR period-end,30652000000.0,26748000000.0,7234000000.0,16912000000.0,990000000.0,,66544000000.0,31617000000.0,6700000000.0,4983000000.0,560625080000.0,489220920000.0,132309860000.0,309320480000.0,18107100000.0,,1217089760000.0,578274930000.0,122543000000.0,91139070000.0,,Primary AFS / annual report (see original combined_afs_financials file for page refs),primary_verified
